=== account repatch: launch attempt 1 2026-06-19T09:19:48Z ===
T=30d: 107 affected cells to repatch (of 181 total)
  [1/107] block 15,848,400    41s: acct_R=331,107
  [2/107] block 15,898,800    41s: acct_R=334,979
  [3/107] block 15,949,200    40s: acct_R=356,049
  [4/107] block 15,999,600    41s: acct_R=497,311
  [5/107] block 16,050,000    42s: acct_R=560,270
  [6/107] block 16,100,400    41s: acct_R=586,391
  [7/107] block 16,150,800    42s: acct_R=767,214
  [8/107] block 16,201,200    43s: acct_R=811,008
  [9/107] block 16,251,600    42s: acct_R=951,870
  [10/107] block 16,302,000    42s: acct_R=1,229,480
  [11/107] block 16,352,400    42s: acct_R=1,453,229
  [12/107] block 16,402,800    41s: acct_R=1,597,254
  [13/107] block 16,453,200    41s: acct_R=1,641,627
  [14/107] block 16,503,600    42s: acct_R=1,481,971
  [15/107] block 16,554,000    41s: acct_R=1,412,013
  [16/107] block 16,604,400    41s: acct_R=1,310,947
  [17/107] block 16,654,800    42s: acct_R=1,237,748
  [18/107] block 16,705,200    42s: acct_R=1,148,045
  [19/107] block 16,755,600    42s: acct_R=1,099,900
  [20/107] block 16,806,000    41s: acct_R=1,028,858
  [21/107] block 16,856,400    41s: acct_R=975,807
  [22/107] block 16,906,800    41s: acct_R=866,725
  [23/107] block 16,957,200    41s: acct_R=751,167
  [24/107] block 17,007,600    42s: acct_R=755,247
  [25/107] block 17,058,000    41s: acct_R=767,940
  [26/107] block 17,108,400    41s: acct_R=756,695
  [27/107] block 17,158,800    41s: acct_R=767,145
  [28/107] block 17,209,200    41s: acct_R=715,758
  [29/107] block 17,259,600    41s: acct_R=722,164
  [30/107] block 17,310,000    42s: acct_R=766,322
  [31/107] block 17,360,400    42s: acct_R=753,584
  [32/107] block 17,410,800    42s: acct_R=769,398
  [33/107] block 17,461,200    41s: acct_R=873,422
  [34/107] block 17,511,600    42s: acct_R=909,540
  [35/107] block 17,562,000    43s: acct_R=999,182
  [36/107] block 17,612,400    42s: acct_R=1,032,755
  [37/107] block 17,662,800    40s: acct_R=924,151
  [38/107] block 17,713,200    41s: acct_R=912,125
  [39/107] block 17,763,600    41s: acct_R=833,816
  [40/107] block 17,814,000    40s: acct_R=819,637
  [41/107] block 17,864,400    42s: acct_R=820,902
  [42/107] block 17,914,800    38s: acct_R=810,579
  [43/107] block 17,965,200    37s: acct_R=746,421
  [44/107] block 18,015,600    41s: acct_R=747,209
