=== gap rerun: launch attempt 1 2026-06-22T09:56:27Z ===
T=30d: 14 gap cells to re-run (of 181 total)
  [1/14] block 23,257,200    75s: acct_R=2,433,192
  [2/14] block 23,307,600    74s: acct_R=2,295,125
  [3/14] block 23,358,000    74s: acct_R=1,031,770
  [4/14] block 23,408,400    74s: acct_R=928,680
  [5/14] block 23,458,800    90s: acct_R=882,107
  [6/14] block 23,509,200    75s: acct_R=872,995
  [7/14] block 23,559,600    74s: acct_R=907,258
  [8/14] block 23,610,000    71s: acct_R=982,022
  [9/14] block 23,660,400    71s: acct_R=1,023,866
  [10/14] block 23,710,800    72s: acct_R=1,066,881
  [11/14] block 23,761,200    72s: acct_R=1,074,495
  [12/14] block 23,811,600    72s: acct_R=1,088,630
  [13/14] block 23,862,000    70s: acct_R=1,142,255
  [14/14] block 23,912,400    73s: acct_R=1,187,064
T=90d: 22 gap cells to re-run (of 173 total)
  [1/22] block 23,257,200   222s: acct_R=3,059,994
  [2/22] block 23,307,600   218s: acct_R=3,104,218
  [3/22] block 23,358,000   226s: acct_R=3,122,323
  [4/22] block 23,408,400   227s: acct_R=3,174,026
  [5/22] block 23,458,800   228s: acct_R=3,206,509
  [6/22] block 23,509,200   234s: acct_R=3,296,898
  [7/22] block 23,559,600   253s: acct_R=3,345,685
  [8/22] block 23,610,000   251s: acct_R=3,454,710
  [9/22] block 23,660,400   256s: acct_R=3,496,667
  [10/22] block 23,710,800   237s: acct_R=3,588,805
  [11/22] block 23,761,200   256s: acct_R=2,930,966
  [12/22] block 23,811,600   239s: acct_R=2,516,428
  [13/22] block 23,862,000   234s: acct_R=2,535,254
  [14/22] block 23,912,400   241s: acct_R=2,555,617
  [15/22] block 23,962,800   261s: acct_R=2,647,548
  [16/22] block 24,013,200   264s: acct_R=2,779,304
  [17/22] block 24,063,600   276s: acct_R=2,792,277
  [18/22] block 24,114,000   274s: acct_R=2,882,720
  [19/22] block 24,164,400   281s: acct_R=2,874,020
  [20/22] block 24,214,800   281s: acct_R=2,866,276
  [21/22] block 24,265,200   295s: acct_R=2,879,824
  [22/22] block 24,315,600   303s: acct_R=2,916,315
T=180d: 33 gap cells to re-run (of 160 total)
  [1/33] block 23,257,200   431s: acct_R=3,940,458
  [2/33] block 23,307,600   435s: acct_R=3,983,081
  [3/33] block 23,358,000   436s: acct_R=3,955,817
  [4/33] block 23,408,400   437s: acct_R=4,069,944
  [5/33] block 23,458,800   443s: acct_R=4,147,643
  [6/33] block 23,509,200   442s: acct_R=4,230,935
  [7/33] block 23,559,600   447s: acct_R=4,284,341
  [8/33] block 23,610,000   451s: acct_R=4,408,353
  [9/33] block 23,660,400   455s: acct_R=4,492,268
  [10/33] block 23,710,800   464s: acct_R=4,657,261
  [11/33] block 23,761,200   482s: acct_R=4,790,217
  [12/33] block 23,811,600   471s: acct_R=4,905,028
  [13/33] block 23,862,000   467s: acct_R=5,026,723
  [14/33] block 23,912,400   469s: acct_R=5,197,406
  [15/33] block 23,962,800   477s: acct_R=5,330,163
  [16/33] block 24,013,200   495s: acct_R=5,491,659
  [17/33] block 24,063,600   499s: acct_R=5,569,075
  [18/33] block 24,114,000   508s: acct_R=5,659,384
  [19/33] block 24,164,400   516s: acct_R=5,733,597
  [20/33] block 24,214,800   528s: acct_R=5,799,827
  [21/33] block 24,265,200   534s: acct_R=5,878,794
  [22/33] block 24,315,600   550s: acct_R=5,949,434
  [23/33] block 24,366,000   564s: acct_R=5,960,667
  [24/33] block 24,416,400   564s: acct_R=5,111,646
  [25/33] block 24,466,800   575s: acct_R=4,943,886
  [26/33] block 24,517,200   589s: acct_R=4,905,943
  [27/33] block 24,567,600   602s: acct_R=4,862,316
  [28/33] block 24,618,000   605s: acct_R=4,947,845
